RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
26,15600026,Miller,495,France,Female,87,4,152919.44,1,1,0,188396.7,0
27,15600027,Jones,409,France,Male,52,4,151207.46,3,0,1,106027.72,1
28,15600028,Smith,397,Germany,Female,53,0,886.42,2,1,0,150833.87,1
29,15600029,Rodriguez,354,France,Male,37,8,9007.03,3,0,1,34214.65,1
30,15600030,Miller,810,France,Female,44,10,62382.43,1,1,1,195029.03,0
31,15600031,Brown,792,France,Male,70,0,44840.17,3,1,0,60693.08,0
32,15600032,Davis,796,France,Female,46,3,204146.65,4,1,1,165901.91,0
33,15600033,Brown,362,Germany,Male,69,5,69650.77,1,1,1,131881.53,1
34,15600034,Rodriguez,519,France,Male,51,2,145147.43,3,0,0,123348.54,1
35,15600035,Miller,573,Germany,Male,67,9,47519.69,1,1,0,108784.87,0
36,15600036,Miller,570,France,Female,58,10,212003.82,3,1,1,71974.75,1
37,15600037,Rodriguez,415,France,Female,66,10,187033.64,2,1,1,114108.07,0
38,15600038,Jones,496,France,Female,92,9,163676.41,4,1,1,138369.17,1
39,15600039,Williams,687,France,Female,83,10,158235.21,3,0,0,137831.18,0
40,15600040,Brown,425,France,Male,49,7,152818.49,1,1,1,178366.01,0
41,15600041,Davis,603,Spain,Male,36,10,171905.6,1,1,0,43418.47,1
42,15600042,Smith,635,France,Male,76,2,200354.15,3,1,1,167808.14,1
43,15600043,Williams,730,Spain,Female,51,3,209965.72,3,1,0,62173.51,0
44,15600044,Jones,470,Spain,Female,58,8,20144.41,2,0,1,141850.46,0
45,15600045,Johnson,562,Spain,Female,87,7,103943.56,2,1,1,181919.31,0
46,15600046,Wilson,544,Spain,Male,63,4,188368.78,4,0,1,51690.11,1
47,15600047,Garcia,364,Spain,Female,69,2,210126.42,2,0,1,122459.63,0
48,15600048,Johnson,679,Spain,Male,77,2,12571.16,4,1,0,96392.87,1
49,15600049,Davis,492,Spain,Female,28,7,4845.82,1,1,0,133527.38,0
50,15600050,Smith,836,France,Male,20,9,38095.59,2,1,0,117154.22,0
51,15600051,Garcia,708,Spain,Female,39,9,151811.87,1,0,1,30538.76,0
52,15600052,Jones,644,Germany,Female,68,3,18999.12,2,0,1,171555.72,0
53,15600053,Wilson,750,France,Female,86,6,165380.34,1,1,0,171419.37,1
54,15600054,Johnson,571,Spain,Female,37,6,44034.24,3,1,1,92759.15,1
55,15600055,Miller,786,France,Male,53,7,60965.86,4,1,1,15453.0,1
56,15600056,Williams,599,France,Female,51,5,69914.62,3,0,0,26266.46,1
57,15600057,Garcia,634,France,Female,80,7,198233.22,1,1,0,86836.21,0
58,15600058,Jones,689,Germany,Female,78,8,132730.48,4,1,1,143542.44,1
59,15600059,Jones,478,France,Male,42,5,29888.69,2,0,0,150334.88,1
60,15600060,Wilson,850,Germany,Female,30,3,74061.62,3,0,1,12688.19,0
61,15600061,Jones,373,France,Female,34,10,217115.3,4,0,0,119072.2,1
62,15600062,Garcia,575,Spain,Male,24,4,235265.9,4,0,0,86134.41,0
63,15600063,Wilson,672,Germany,Male,37,2,202785.52,3,0,0,32505.8,1
64,15600064,Wilson,655,Germany,Male,84,6,112628.62,4,1,1,68022.25,0
65,15600065,Wilson,841,Germany,Male,44,10,52756.3,1,0,0,43024.57,0
66,15600066,Williams,351,Spain,Female,78,4,8159.96,3,1,1,23524.15,0
67,15600067,Jones,753,Germany,Male,72,1,136140.59,2,1,0,23567.87,0
68,15600068,Jones,654,Germany,Female,74,1,117174.49,3,1,1,105089.71,1
69,15600069,Garcia,391,Germany,Male,73,5,150928.41,1,0,0,192763.11,0
70,15600070,Jones,645,France,Male,78,8,162877.37,3,0,1,130609.1,1
71,15600071,Johnson,590,Spain,Female,60,5,167533.38,2,1,1,141798.0,1
72,15600072,Davis,766,Germany,Male,76,1,78629.29,3,0,1,174333.01,0
73,15600073,Rodriguez,586,Spain,Male,42,8,90444.84,4,1,0,48676.07,0
74,15600074,Jones,574,Germany,Female,33,0,243286.7,2,0,1,114659.41,1
75,15600075,Johnson,465,France,Female,33,10,208035.79,4,1,1,88943.17,1
76,15600076,Garcia,474,Spain,Male,67,3,230467.04,2,0,1,156808.28,1
77,15600077,Miller,828,Germany,Female,18,4,181512.75,4,0,1,112330.31,1
78,15600078,Miller,632,Germany,Female,76,5,217400.42,2,1,0,172642.47,1
79,15600079,Smith,512,Germany,Female,66,6,247103.5,2,1,0,33986.79,1
80,15600080,Johnson,797,Spain,Male,85,7,3836.9,2,1,0,24217.37,1
81,15600081,Miller,669,Germany,Female,28,5,213085.33,4,1,1,175752.77,0
82,15600082,Wilson,385,France,Female,47,1,108492.87,1,0,1,41609.31,1
83,15600083,Smith,373,Spain,Male,55,5,93710.27,2,0,1,117526.33,0
84,15600084,Williams,439,France,Female,48,7,228207.25,2,0,1,131201.88,1
85,15600085,Jones,691,France,Female,54,10,136649.53,1,1,1,197653.82,1
86,15600086,Davis,703,Spain,Female,56,3,249843.39,4,0,0,82459.22,1
87,15600087,Wilson,501,Germany,Female,20,10,98951.44,1,0,1,168239.39,1
88,15600088,Brown,660,Spain,Male,42,9,62656.7,2,0,0,68697.25,1
89,15600089,Smith,646,Spain,Male,29,4,81679.78,4,0,0,35110.36,1
90,15600090,Rodriguez,606,Spain,Male,50,7,241846.02,3,1,0,98982.96,0
91,15600091,Williams,736,France,Female,89,5,22575.72,4,0,1,111948.74,1
92,15600092,Miller,694,Germany,Female,92,6,205604.33,3,0,0,99580.6,1
93,15600093,Wilson,463,Germany,Male,77,4,162309.86,1,0,0,189789.69,1
94,15600094,Garcia,409,France,Male,86,2,97161.46,3,1,0,178228.62,0
95,15600095,Garcia,665,Spain,Female,22,5,54317.42,4,0,1,28877.38,1
96,15600096,Rodriguez,811,Germany,Female,25,6,68970.36,1,1,0,135926.06,0
97,15600097,Smith,752,Spain,Male,34,9,51301.39,2,0,0,72426.32,0
98,15600098,Wilson,351,Spain,Male,34,8,62663.55,2,0,0,35042.61,1
99,15600099,Brown,651,Spain,Male,40,4,13099.75,4,0,0,100486.73,1
100,15600100,Rodriguez,653,France,Female,82,3,236353.91,1,1,1,132234.73,0
101,15600101,Smith,595,Spain,Female,31,7,178100.33,4,0,0,71201.25,0
102,15600102,Johnson,414,Spain,Female,66,9,132639.21,4,1,0,160688.26,0
103,15600103,Rodriguez,719,France,Female,75,3,103453.39,4,1,1,148626.38,1
104,15600104,Davis,510,Germany,Female,65,2,171705.26,4,0,0,168036.66,0
105,15600105,Davis,399,Germany,Female,34,8,14995.24,3,0,1,77183.64,1
106,15600106,Smith,845,Spain,Female,63,1,144479.63,2,0,1,52606.53,0
107,15600107,Miller,782,Germany,Female,32,4,143525.0,4,0,1,15501.1,1
108,15600108,Jones,821,Spain,Female,18,2,217465.68,4,0,0,150784.12,0
109,15600109,Johnson,732,Germany,Male,66,6,113411.45,2,1,1,147103.23,0
110,15600110,Smith,429,France,Male,28,4,110778.24,4,1,1,88694.91,0
111,15600111,Rodriguez,408,Spain,Female,32,4,169554.47,4,1,0,51898.5,0
112,15600112,Smith,454,Spain,Male,35,4,72361.78,1,0,1,151932.68,0
113,15600113,Williams,544,Germany,Male,82,8,208338.55,3,0,1,173735.23,0
114,15600114,Davis,359,Spain,Male,58,9,107321.07,4,1,1,31882.94,0
115,15600115,Miller,437,Germany,Female,64,1,109177.94,1,0,1,121885.54,0
116,15600116,Davis,795,Spain,Female,46,5,194779.47,1,0,0,182125.32,1
117,15600117,Miller,722,Germany,Male,48,1,36611.05,2,0,0,154440.91,0
118,15600118,Williams,837,Germany,Female,77,9,189969.29,4,1,1,38681.91,0
119,15600119,Garcia,576,Germany,Female,53,9,14043.03,1,1,1,95863.63,0
120,15600120,Miller,775,Spain,Male,29,9,148519.95,4,1,0,95449.4,0
121,15600121,Miller,659,Spain,Male,25,7,25875.47,3,0,0,17437.0,1
122,15600122,Garcia,618,Germany,Male,64,5,229484.2,4,1,1,138990.57,0
123,15600123,Miller,383,Spain,Male,89,10,96641.05,3,0,1,25485.38,0
124,15600124,Miller,508,Germany,Female,34,9,177208.5,1,1,1,132263.72,1
125,15600125,Williams,693,Germany,Male,72,8,90457.02,3,1,0,190722.17,1
126,15600126,Garcia,448,France,Male,37,1,73948.03,1,0,1,176514.63,0
127,15600127,Wilson,542,France,Male,41,9,202260.93,2,1,0,88063.14,0
128,15600128,Garcia,662,Spain,Female,47,8,59792.12,4,0,1,138878.3,1
129,15600129,Garcia,743,Spain,Female,82,8,104665.21,2,0,0,175870.36,0
130,15600130,Garcia,797,Spain,Male,84,1,71265.75,2,1,1,182008.18,0
131,15600131,Davis,396,France,Female,62,0,103724.23,4,1,0,83371.56,0
132,15600132,Miller,464,France,Female,30,10,83822.59,2,0,0,64507.09,1
133,15600133,Williams,738,Germany,Female,75,9,1312.8,1,0,1,50974.4,0
134,15600134,Rodriguez,831,Germany,Female,32,4,59410.06,1,0,0,89766.85,1
135,15600135,Johnson,406,Spain,Male,83,9,60484.53,2,1,1,10297.22,1
136,15600136,Brown,642,Spain,Male,28,8,243663.62,1,0,1,175932.97,0
137,15600137,Davis,541,Spain,Male,63,1,86200.62,1,1,0,18423.78,1
138,15600138,Williams,775,Germany,Female,79,10,45569.5,2,0,1,17026.92,0
139,15600139,Smith,755,France,Male,58,4,128845.9,4,1,0,153125.27,0
140,15600140,Jones,532,France,Female,52,1,199835.6,4,1,1,179981.12,1
141,15600141,Miller,848,France,Female,81,5,231077.62,3,0,1,24996.13,0
142,15600142,Rodriguez,500,Spain,Male,28,5,165229.81,3,1,1,41662.51,1
143,15600143,Miller,578,France,Female,73,4,159867.33,1,0,1,79029.11,0
144,15600144,Smith,423,Germany,Female,22,2,16808.34,3,1,1,190398.75,0
145,15600145,Wilson,428,Germany,Female,65,5,110984.82,1,0,1,85626.47,1
146,15600146,Brown,841,France,Male,41,7,129436.32,1,1,1,143767.18,0
147,15600147,Wilson,496,Germany,Female,43,1,33932.1,1,1,0,180749.02,1
148,15600148,Johnson,764,Germany,Female,62,1,137499.29,3,1,0,145243.73,0
149,15600149,Miller,610,France,Male,43,2,59184.05,4,0,1,115264.07,1
150,15600150,Garcia,761,Germany,Male,29,1,77322.68,4,1,1,166434.49,0
151,15600151,Williams,847,Spain,Male,75,7,170027.25,3,0,0,155878.51,0
152,15600152,Davis,607,France,Male,84,2,76031.14,2,1,0,75744.39,1
153,15600153,Johnson,478,France,Female,34,10,75706.15,1,0,0,42528.12,1
154,15600154,Wilson,371,France,Male,23,10,192755.59,3,0,1,127440.6,0
155,15600155,Garcia,805,Germany,Female,56,7,61219.48,4,1,1,23864.87,0
156,15600156,Williams,575,Spain,Female,77,3,85048.14,2,1,1,149497.95,1
157,15600157,Davis,416,Spain,Male,58,3,116618.14,3,1,0,36766.75,0
158,15600158,Jones,834,Spain,Female,49,2,203369.46,3,0,0,104670.45,1
159,15600159,Garcia,800,Spain,Female,20,1,236308.2,4,0,0,120835.38,0
160,15600160,Smith,494,Spain,Female,54,8,2044.35,1,1,0,177666.59,1
161,15600161,Davis,537,France,Female,24,9,140454.22,3,1,0,83406.28,1
162,15600162,Rodriguez,493,Germany,Male,34,1,98475.93,3,1,0,47821.0,1
163,15600163,Rodriguez,370,France,Male,35,5,200991.46,4,0,0,72313.51,1
164,15600164,Williams,551,Germany,Female,61,8,207072.35,4,1,1,164992.28,1
165,15600165,Miller,694,France,Female,92,4,199188.7,1,1,1,193743.43,0
166,15600166,Smith,648,Spain,Male,85,10,180295.71,4,0,0,15998.4,0
167,15600167,Brown,359,Spain,Female,71,2,103240.03,2,1,1,175835.36,0
168,15600168,Williams,615,France,Female,79,8,94206.19,2,1,1,113791.91,1
169,15600169,Wilson,597,France,Male,53,8,74624.79,3,1,0,141145.58,1
170,15600170,Miller,595,Spain,Female,54,1,143369.2,4,1,1,191375.68,0
171,15600171,Jones,371,Spain,Male,62,7,163993.01,4,0,0,167310.82,1
172,15600172,Rodriguez,706,Spain,Male,31,9,185222.74,2,0,0,137268.45,0
173,15600173,Brown,376,France,Female,60,7,25136.23,2,0,0,87312.42,1
174,15600174,Garcia,683,France,Female,59,4,161474.48,1,0,0,183513.65,0
175,15600175,Davis,801,France,Male,68,7,46577.91,3,0,0,66694.52,0
176,15600176,Miller,495,Spain,Female,35,8,117005.19,2,0,1,40873.91,1
177,15600177,Jones,717,France,Male,61,4,141945.31,2,0,1,167128.07,1
178,15600178,Johnson,555,Germany,Male,41,2,119363.52,2,0,1,82879.13,1
179,15600179,Jones,838,Spain,Female,92,9,2858.93,3,0,0,136879.36,1
180,15600180,Jones,431,Spain,Female,33,10,229032.6,3,1,0,51634.43,0
181,15600181,Garcia,428,Spain,Female,71,8,228199.22,2,0,0,109846.26,1
182,15600182,Johnson,819,Germany,Male,25,8,225722.04,2,0,0,72342.35,1
183,15600183,Johnson,698,France,Female,29,8,111370.67,1,1,0,107517.09,1
184,15600184,Wilson,379,Germany,Female,57,0,98987.18,1,0,0,18605.06,1
185,15600185,Johnson,627,France,Male,78,0,71772.68,2,0,1,81147.57,1
186,15600186,Garcia,795,Spain,Female,28,10,241036.09,2,1,0,43909.99,1
187,15600187,Rodriguez,415,Germany,Male,18,0,244622.67,4,1,1,166438.48,0
188,15600188,Garcia,527,France,Female,42,1,8054.33,4,0,0,49155.51,0
189,15600189,Wilson,367,Spain,Male,49,0,100566.34,2,0,0,36625.76,1
190,15600190,Brown,767,Germany,Female,91,9,193134.55,3,0,1,176489.08,0
191,15600191,Davis,503,Spain,Male,89,9,219928.47,2,1,1,18907.98,1
192,15600192,Davis,752,Germany,Female,71,6,37304.4,4,0,1,55783.96,0
193,15600193,Jones,789,Germany,Male,77,0,140596.49,4,0,1,56143.12,0
194,15600194,Miller,681,France,Female,65,1,133908.88,2,0,1,81661.92,0
195,15600195,Johnson,446,Germany,Male,79,3,217368.46,3,1,0,50243.48,0
196,15600196,Johnson,732,Spain,Male,44,6,228781.61,3,1,1,98587.59,1
197,15600197,Jones,483,Spain,Female,77,1,200704.16,4,1,0,80433.94,1
198,15600198,Smith,638,France,Male,20,4,138327.89,4,1,0,47276.44,0
199,15600199,Davis,641,France,Female,88,10,235866.14,3,1,1,193636.57,1
200,15600200,Garcia,436,Germany,Female,39,2,180078.38,4,0,0,109549.44,0
201,15600201,Smith,741,France,Female,35,10,57858.35,2,0,0,106089.25,1
202,15600202,Smith,666,Germany,Female,80,0,1653.09,4,0,0,110589.35,1
203,15600203,Rodriguez,850,Spain,Male,82,10,107643.3,2,0,0,109633.23,0
204,15600204,Brown,667,Germany,Female,63,4,198734.08,1,1,1,97209.57,0
205,15600205,Brown,503,Germany,Male,22,1,101319.57,4,1,0,130982.13,0
206,15600206,Johnson,605,Spain,Female,90,1,223697.8,1,0,0,181241.86,1
207,15600207,Jones,373,France,Female,87,9,164527.31,2,1,0,192679.15,0
208,15600208,Davis,825,France,Female,38,9,60118.05,4,1,1,153565.76,0
209,15600209,Johnson,606,Germany,Female,24,1,109272.06,1,1,1,194094.9,1
210,15600210,Smith,674,Spain,Female,80,3,88952.8,4,1,0,139142.02,1
211,15600211,Johnson,745,Germany,Female,49,1,20509.5,2,1,0,150534.5,1
212,15600212,Miller,404,France,Male,57,7,89979.37,3,0,0,26586.47,1
213,15600213,Garcia,635,Germany,Female,31,0,22404.71,1,1,1,12344.72,1
214,15600214,Davis,748,France,Male,91,8,42395.73,4,0,0,61094.6,1
215,15600215,Garcia,424,France,Male,73,4,105275.58,4,0,1,57822.95,0
216,15600216,Garcia,654,Germany,Male,76,1,33872.38,1,1,1,169906.54,1
217,15600217,Miller,575,Spain,Female,35,4,80166.29,2,1,1,43751.08,1
218,15600218,Miller,499,Germany,Female,91,3,81471.56,3,1,1,31638.69,0
219,15600219,Wilson,629,France,Male,77,3,109613.74,3,0,1,137865.75,0
220,15600220,Jones,473,Spain,Male,72,6,18491.28,4,1,1,113292.59,1
221,15600221,Rodriguez,654,Germany,Male,31,3,164400.41,3,0,0,117011.86,1
222,15600222,Miller,844,Spain,Male,19,1,64684.59,2,1,1,84315.49,0
223,15600223,Miller,362,Spain,Male,55,6,230136.89,1,0,0,76182.44,1
224,15600224,Garcia,751,France,Female,62,7,24405.76,4,1,0,67050.18,0
225,15600225,Smith,784,Spain,Male,39,3,128998.48,2,1,1,192107.9,0
226,15600226,Davis,672,France,Male,73,6,7298.07,2,1,1,83878.8,0
227,15600227,Brown,492,Germany,Male,91,1,199875.59,2,1,1,47444.11,0
228,15600228,Jones,693,Spain,Female,67,9,98136.0,1,1,1,170648.38,0
229,15600229,Jones,820,Germany,Male,35,5,29465.41,3,0,0,80928.15,0
230,15600230,Rodriguez,548,Spain,Male,91,6,105759.7,4,0,0,103031.98,0
231,15600231,Williams,511,Spain,Male,63,0,121152.23,2,1,1,87735.53,1
232,15600232,Davis,713,Spain,Female,39,1,141349.45,2,1,0,62222.05,1
233,15600233,Williams,749,Spain,Female,88,8,28302.75,1,1,1,112988.24,0
234,15600234,Garcia,629,France,Female,31,10,187836.37,3,0,1,59934.89,0
235,15600235,Garcia,793,France,Male,44,9,172283.4,4,0,0,159121.37,0
236,15600236,Smith,641,Spain,Female,86,2,80913.4,3,1,1,190955.5,0
237,15600237,Williams,842,Spain,Male,53,10,31722.04,2,0,0,145165.02,0
238,15600238,Davis,600,France,Female,71,6,112997.93,1,1,1,141993.69,1
239,15600239,Garcia,836,Spain,Female,92,0,217226.94,1,1,1,171520.19,1
240,15600240,Brown,845,Spain,Male,81,4,80716.29,3,1,0,117567.0,1
241,15600241,Miller,807,Germany,Male,23,1,156544.88,4,0,0,186592.25,0
242,15600242,Garcia,583,France,Female,43,2,220536.94,3,0,1,27734.6,1
243,15600243,Jones,392,Spain,Male,24,6,156401.07,2,1,0,143702.63,0
244,15600244,Brown,594,France,Male,46,8,169995.68,1,0,1,165250.72,1
245,15600245,Williams,594,France,Male,67,1,182690.85,1,0,1,79836.72,1
246,15600246,Williams,545,France,Male,26,8,140822.8,2,1,1,147262.09,0
247,15600247,Davis,665,Germany,Female,45,1,224148.24,2,0,1,76791.77,1
248,15600248,Miller,755,France,Male,53,10,21062.18,3,0,1,49034.69,0
249,15600249,Davis,501,Germany,Male,48,7,96471.39,2,1,0,110374.44,0
250,15600250,Miller,828,Spain,Male,67,9,105215.88,2,1,0,13170.99,0
251,15600251,Smith,484,France,Male,25,6,126652.65,4,1,1,25661.28,0
252,15600252,Jones,392,Spain,Male,83,3,243578.35,2,1,1,121423.06,0
253,15600253,Jones,707,Spain,Male,25,3,21553.2,4,0,1,126336.39,0
254,15600254,Jones,691,Germany,Male,33,0,176975.15,1,0,1,191073.08,1
255,15600255,Williams,540,France,Female,33,0,83752.76,4,1,0,59960.43,0
256,15600256,Garcia,583,Germany,Female,25,7,214839.95,2,1,0,58472.06,0
257,15600257,Wilson,695,Germany,Male,47,8,642.13,1,0,0,99635.27,1
258,15600258,Williams,441,France,Female,46,5,62065.8,3,1,0,118591.83,0
259,15600259,Rodriguez,694,France,Male,46,8,245353.47,4,0,1,174546.12,1
260,15600260,Miller,394,Germany,Female,19,5,50167.79,3,0,1,79971.99,1
261,15600261,Brown,725,Germany,Male,37,0,233099.38,1,0,1,130828.95,0
262,15600262,Miller,350,Germany,Female,57,1,51298.59,2,1,1,192625.16,0
263,15600263,Jones,397,France,Male,84,6,175211.73,3,1,0,120346.42,0
264,15600264,Davis,388,Germany,Male,73,10,241054.57,2,1,1,171673.6,1
265,15600265,Miller,512,Spain,Female,47,1,235888.67,2,0,0,30074.97,1
266,15600266,Garcia,510,Spain,Male,86,5,241158.68,2,1,1,98035.85,0
267,15600267,Johnson,430,Germany,Female,23,3,208981.19,3,0,0,145119.91,1
268,15600268,Davis,612,France,Female,51,2,7770.52,4,1,0,27997.8,0
269,15600269,Williams,412,France,Male,46,2,49533.26,4,1,0,120641.52,1
270,15600270,Johnson,361,France,Male,74,2,22994.66,3,0,0,189033.33,0
271,15600271,Williams,823,Germany,Female,68,7,7370.57,4,0,1,50796.06,0
272,15600272,Jones,493,Spain,Male,22,9,154794.14,2,1,1,88278.52,1
273,15600273,Smith,394,Spain,Female,35,6,49864.45,2,0,1,158564.0,1
274,15600274,Garcia,628,Spain,Female,90,8,80401.1,3,0,0,70586.74,0
275,15600275,Smith,808,Spain,Male,78,8,89358.22,2,0,0,57092.84,0
276,15600276,Jones,623,Germany,Male,46,9,211626.27,4,1,0,43459.07,1
277,15600277,Miller,817,Germany,Male,63,9,140901.62,2,1,1,43355.79,0
278,15600278,Johnson,378,France,Male,20,8,119497.25,3,0,0,74744.22,0
279,15600279,Miller,380,France,Male,36,1,211620.22,3,0,1,143862.22,1
280,15600280,Wilson,401,Spain,Female,59,2,243965.17,4,1,1,43098.51,1
281,15600281,Brown,690,Germany,Male,66,4,183498.74,3,0,0,148477.88,1
282,15600282,Wilson,366,France,Female,46,10,141387.56,4,0,1,151615.23,0
283,15600283,Miller,513,France,Male,60,7,2848.91,2,0,0,76591.42,0
284,15600284,Smith,374,Spain,Female,71,2,221138.0,4,1,1,113744.55,0
285,15600285,Garcia,753,Germany,Male,38,7,18427.35,1,1,0,70556.21,0
286,15600286,Johnson,525,France,Female,38,1,136761.56,1,1,1,143855.88,1
287,15600287,Williams,660,Spain,Male,24,1,82773.64,2,1,1,135513.6,1
288,15600288,Brown,399,France,Female,91,8,209963.63,2,0,1,10724.96,0
289,15600289,Jones,771,Germany,Female,43,1,6433.92,2,1,0,99978.42,0
290,15600290,Jones,751,Spain,Female,80,10,66251.1,4,0,1,178243.61,1
291,15600291,Williams,578,France,Female,74,7,65850.2,3,0,0,152924.68,0
292,15600292,Johnson,692,Spain,Female,47,8,15245.94,4,1,1,118815.72,0
293,15600293,Garcia,503,France,Female,22,8,142804.98,2,0,1,42847.0,0
294,15600294,Brown,763,France,Male,23,6,19592.13,4,0,0,168480.54,1
295,15600295,Miller,816,Germany,Male,29,6,139091.05,3,1,1,184260.76,0
296,15600296,Wilson,650,Germany,Female,32,6,37410.58,1,0,0,159291.67,1
297,15600297,Davis,485,Spain,Female,91,9,118261.65,2,1,1,37332.01,1
298,15600298,Smith,552,Spain,Male,24,7,230208.75,3,0,1,165303.33,1
299,15600299,Jones,493,Spain,Male,47,2,75120.11,4,1,1,148471.89,0
300,15600300,Brown,576,France,Female,80,8,216797.24,1,0,0,69113.39,1
301,15600301,Williams,749,Germany,Male,40,3,218795.14,2,0,0,16283.5,0
302,15600302,Miller,710,France,Female,65,7,126281.59,1,0,0,80768.68,1
303,15600303,Williams,841,Spain,Female,62,2,209413.44,3,0,1,15215.59,0
304,15600304,Williams,787,Germany,Male,46,10,56278.01,2,1,1,107523.43,0
305,15600305,Garcia,816,France,Male,19,3,63097.61,3,1,1,180141.77,1
306,15600306,Garcia,479,France,Female,56,10,130159.47,4,0,0,107187.61,1
307,15600307,Rodriguez,681,Germany,Female,56,10,27026.13,1,1,1,131713.0,1
308,15600308,Jones,685,Germany,Female,42,2,129323.4,2,0,1,135500.76,0
309,15600309,Smith,685,Spain,Female,51,6,101149.72,1,0,1,148044.48,0
310,15600310,Rodriguez,676,Spain,Female,82,4,211354.81,2,1,0,99448.37,1
311,15600311,Rodriguez,740,France,Female,29,3,88820.85,3,1,1,80619.66,1
312,15600312,Garcia,785,France,Female,24,10,145893.65,1,1,0,105090.7,1
313,15600313,Rodriguez,502,Spain,Male,37,2,248086.96,3,1,1,37212.59,0
314,15600314,Johnson,599,Spain,Male,58,10,14503.4,4,1,0,154626.72,0
315,15600315,Wilson,741,France,Female,29,2,153619.93,4,1,1,193412.29,1
316,15600316,Smith,369,Germany,Male,65,0,223001.6,2,0,0,129070.52,0
317,15600317,Brown,705,Spain,Female,34,1,95887.62,3,0,0,166530.33,1
318,15600318,Jones,583,Germany,Female,73,10,248868.1,3,1,1,152521.96,0
319,15600319,Davis,359,France,Male,34,3,183519.15,2,0,1,145110.92,0
320,15600320,Davis,798,Germany,Female,86,9,12146.74,1,0,0,19164.66,0
321,15600321,Davis,577,Spain,Male,88,4,118599.08,2,0,0,67212.13,0
322,15600322,Rodriguez,488,Germany,Male,71,1,127896.2,1,1,0,159104.41,1
323,15600323,Brown,661,France,Female,84,3,89480.46,4,1,0,17487.08,1
324,15600324,Brown,702,Spain,Female,48,0,3187.35,1,0,1,38337.45,0
325,15600325,Rodriguez,388,Germany,Male,50,10,57790.07,3,1,1,19515.24,0
326,15600326,Smith,786,Spain,Female,58,6,184635.05,1,0,0,171879.76,0
327,15600327,Miller,533,Spain,Female,29,5,203741.07,2,0,1,86047.54,1
328,15600328,Jones,777,Spain,Female,71,10,221530.97,2,0,0,142272.28,0
329,15600329,Williams,403,Spain,Female,90,10,109540.7,4,1,0,173889.4,0
330,15600330,Garcia,821,Spain,Male,70,7,11493.08,3,1,0,143867.95,0
331,15600331,Miller,615,Germany,Male,73,10,181662.99,4,1,1,38244.35,0
332,15600332,Smith,679,France,Female,81,2,18716.31,4,1,0,72870.02,1
333,15600333,Smith,609,France,Female,69,3,19707.65,4,1,0,172751.95,1
334,15600334,Miller,410,Spain,Male,31,6,103084.64,1,0,1,179121.07,0
335,15600335,Garcia,836,Spain,Female,24,3,211079.36,3,1,1,146023.57,0
336,15600336,Johnson,738,Germany,Male,18,5,88784.74,3,1,0,18697.84,0
337,15600337,Garcia,421,Germany,Female,31,4,152712.94,2,0,1,50962.01,0
338,15600338,Miller,405,Spain,Male,33,7,114346.97,2,1,0,110769.23,0
